ClientName,NetAssets,EstablishedTime,Region,NumberOfFunds,InvestmentServicingCost,CustodyCost,AssetUnderManagement,ETFSolutionsCost,FundAccountingCost,RiskAnalyticsCost,MultiAssetClassAnalyticsCost,DigitalExperienceCost,PortfolioSolutionsCost,FXServicesCost,FinancingCollateralServicesCost,HasCollateral,Horizon,CustomerValue
AdvisorOne Funds,726.02,1997,APAC,5,0,1699.175416,508.214,1699.175416,1699.175416,0,0,0,0,0,0,N,NA,5097.526248
Stadion Funds,723.95,2004,APAC,8.7,0,8047.95852,506.765,8047.95852,8047.95852,0,0,0,0,0,0,N,NA,24143.87556
CrossingBridge,705.63,2018,APAC,2.6,0,1179.353152,493.941,1179.353152,1179.353152,0,0,0,0,0,0,N,NA,3538.059456
Merk Funds,703.6,2005,APAC,8.7,0,9697.079787,492.52,9697.079787,9697.079787,0,0,0,0,0,0,N,NA,29091.23936
Grant Park,701.65,2013,APAC,8.4,0,6611.400383,491.155,6611.400383,6611.400383,0,0,0,0,0,0,N,NA,19834.20115
AXS,697.87,2008,APAC,3.5,0,1577.122325,488.509,1577.122325,1577.122325,0,0,0,0,0,0,N,NA,4731.366975
361 Funds,693.58,2014,APAC,7.5,0,11845.94867,485.506,11845.94867,11845.94867,0,0,0,0,0,0,N,NA,35537.846
E-Valuator funds,686.93,2012,APAC,9.9,0,11537.12632,480.851,11537.12632,11537.12632,0,0,0,0,0,0,N,NA,34611.37896
River Canyon,670.24,2014,APAC,0.2,0,6738.76961,469.168,6738.76961,6738.76961,0,0,0,0,0,0,N,NA,20216.30883
"RiverNorth Capital Management, LLC",669.62,2015,APAC,5.4,0,4658.83975,468.734,4658.83975,4658.83975,0,0,0,0,0,0,N,NA,13976.51925
Applied Finance Advisors,665.86,2006,APAC,6.6,0,1968.029387,466.102,1968.029387,1968.029387,0,0,0,0,0,0,N,NA,5904.088162
Spirit of America,647.15,1998,APAC,4.2,0,1865.278347,453.005,1865.278347,1865.278347,0,0,0,0,0,0,N,NA,5595.835041
Summit Global Investments,646.76,2009,APAC,6.3,0,764.7678763,452.732,764.7678763,764.7678763,0,0,0,0,0,0,N,NA,2294.303629
ABR,644.38,2015,APAC,3.8,0,2091.303958,451.066,2091.303958,2091.303958,0,0,0,0,0,0,N,NA,6273.911874
Deer Park,643.57,2015,APAC,6.6,931.681999,0,0,0,0,0,0,931.681999,0,931.681999,931.681999,N,Long,3726.727996
EMQQ,638.88,2014,APAC,6.8,1321.279667,0,0,0,0,0,0,1321.279667,0,1321.279667,1321.279667,N,Long,5285.118669
Clough Capital,632.71,2004,APAC,12.3,1277.670195,0,0,0,0,0,0,1277.670195,0,1277.670195,1277.670195,N,Long,5110.680779
Altegris,620.17,2011,EUR,6.1,1781.649125,0,0,0,0,0,0,1781.649125,0,1781.649125,1781.649125,N,Long,7126.596501
ICON Funds,611.55,1997,EUR,4.5,1150.408525,0,0,0,0,0,0,1150.408525,0,1150.408525,1150.408525,N,Long,4601.634099
PIA Mutual Funds,605.83,1994,EUR,5,2288.809925,0,0,0,0,0,0,2288.809925,0,2288.809925,2288.809925,N,Long,9155.239699
Columbia,605.04,1975,EUR,45.1,3702.01406,0,0,0,0,0,0,3702.01406,0,3702.01406,3702.01406,N,Long,14808.05624
James Advantage,595.81,1991,EUR,9.9,2225.419589,0,0,0,0,0,0,2225.419589,0,2225.419589,2225.419589,N,Long,8901.678357
BlackRock Asset Management Ireland - ETF,593.75,2016,EUR,14.3,1433.649561,0,0,0,0,0,0,1433.649561,0,1433.649561,1433.649561,Y,Long,5734.598243
Euro Pacific Asset Management,574.67,2010,EUR,9,1044.424243,0,0,0,0,0,0,1044.424243,0,1044.424243,1044.424243,Y,Long,4177.696973
Boston Common,571.11,2010,EUR,10.4,6944.072265,0,0,0,0,0,0,6944.072265,0,6944.072265,6944.072265,Y,Short,27776.28906
John Hancock Investment Management,568.29,2021,EUR,0.1,2591.086873,0,0,0,0,0,0,2591.086873,0,2591.086873,2591.086873,Y,Long,10364.34749
AAMA,561.98,2017,EUR,4.9,1962.975342,0,0,0,0,0,0,1962.975342,0,1962.975342,1962.975342,Y,Long,7851.901368
Bruce,544.62,1968,EUR,38.4,1193.235962,0,0,0,0,0,0,1193.235962,0,1193.235962,1193.235962,Y,Long,4772.943848
ELEMENTS,543.39,2007,EUR,14.6,3556.626213,0,0,0,0,0,0,3556.626213,0,3556.626213,3556.626213,Y,Short,14226.50485
Reich & Tang,520.8,1987,EUR,9.2,1007.776237,0,0,0,0,0,0,1007.776237,0,1007.776237,1007.776237,Y,Short,4031.104947
Day Hagan,517.87,2014,EUR,2.3,698.726869,0,0,0,0,0,0,698.726869,0,698.726869,698.726869,N,Short,2794.907476
Keeley,515.73,2007,EUR,11.3,1090.73281,0,0,0,0,0,0,1090.73281,0,1090.73281,1090.73281,N,Short,4362.931238
Reinhartfunds,512.91,2012,EUR,4.8,2406.131104,0,0,0,0,0,0,2406.131104,0,2406.131104,2406.131104,N,Long,9624.524417
Gerstein Fisher,505.59,2010,EUR,0.2,1253.752368,0,0,0,0,0,0,1253.752368,0,1253.752368,1253.752368,N,Short,5015.009472
Crawford,503.53,2004,EUR,6.1,1737.10556,0,0,0,0,0,0,1737.10556,0,1737.10556,1737.10556,N,Short,6948.422239
Tocqueville,494.78,1987,EUR,19,724.2296918,0,0,0,0,0,0,724.2296918,0,724.2296918,724.2296918,N,Long,2896.918767
Scharf Investments,491.19,2011,US,10.2,5475.97841,0,0,0,0,0,0,5475.97841,0,5475.97841,5475.97841,N,Short,21903.91364
Anchor,490.44,2015,US,5.7,2257.205351,0,0,0,0,0,0,2257.205351,0,2257.205351,2257.205351,N,Short,9028.821403
Sofi,490.26,2019,US,3,0,0,0,0,2651.879767,0,0,2651.879767,0,0,0,N,NA,5303.759534
TCM Funds,476.44,2004,US,6.6,0,0,0,0,2082.677231,0,0,2082.677231,0,0,0,N,NA,4165.354461
Liberty Street,471.75,2009,US,8.9,0,0,0,0,2561.884056,0,0,2561.884056,0,0,0,N,NA,5123.768112
Needham,467.06,1996,US,13.4,0,0,0,0,4746.171482,0,0,4746.171482,0,0,0,N,NA,9492.342964
Dearborn Partners,466.12,2013,US,9.2,0,0,0,0,4102.431596,0,0,4102.431596,0,0,0,N,NA,8204.863191
ClearShares,460.36,2017,US,1.8,0,0,0,0,4938.64785,0,0,4938.64785,0,0,0,N,NA,9877.295699
Overlay Shares,456.13,2019,US,2.4,0,0,0,0,2407.504868,0,0,2407.504868,0,0,0,N,NA,4815.009736
"Apollo Credit Management, LLC",452.13,2011,US,10.2,0,0,0,0,3138.50584,0,0,3138.50584,0,0,0,N,NA,6277.011679
Ecofin,449.68,2017,US,1.7,0,0,0,0,4130.319905,0,0,4130.319905,0,0,0,N,NA,8260.639809
FCF Funds,445.87,2016,US,1.3,0,0,0,0,1274.725019,0,0,1274.725019,0,0,0,N,NA,2549.450038
Fiera Capital,444.59,2012,US,4.1,0,0,0,0,2251.339828,0,0,2251.339828,0,0,0,N,NA,4502.679656
Pacific Capital,444.56,1994,US,2.9,0,0,0,0,1901.960891,0,0,1901.960891,0,0,0,N,NA,3803.921781
PineBridge,444.15,2016,US,5.5,0,0,0,0,4317.70175,0,0,4317.70175,0,0,0,N,NA,8635.4035
Columbia Threadneedle Investments,442.03,2009,US,6,0,0,0,0,2755.279482,0,0,2755.279482,0,0,0,N,NA,5510.558964
LeaderShares,440.97,2020,US,1.6,0,0,0,0,1792.942062,0,0,1792.942062,0,0,0,N,NA,3585.884123
Centre Funds,440.13,2011,US,9.9,0,0,0,0,2444.62639,0,0,2444.62639,0,0,0,N,NA,4889.25278
Polaris Funds,439.38,1998,US,11.7,0,0,0,0,1378.470831,0,0,1378.470831,0,0,0,N,NA,2756.941661
YCG FUNDS,438.53,2012,US,9.4,0,0,0,0,1644.773699,0,0,1644.773699,0,0,0,N,NA,3289.547398
Engine No. 1 ETF,434.89,2021,US,0.8,0,0,0,0,5468.58925,0,0,5468.58925,0,0,0,N,NA,10937.1785
Intrepid Funds,433.63,2005,APAC,3.8,0,0,0,0,3687.783958,0,0,3687.783958,0,0,0,N,NA,7375.567916
"Columbia Mgmt Investment Advisers, LLC",430.62,2009,APAC,6.1,0,0,0,0,5055.38909,0,0,5055.38909,0,0,0,N,NA,10110.77818
Beacon Investment Advisory,430.16,2017,APAC,4.7,0,0,0,0,2559.707147,0,0,2559.707147,0,0,0,N,NA,5119.414293
AAAMCO,426.29,2017,APAC,4.2,0,0,0,0,2133.458003,0,0,0,0,0,6400.37401,N,Short,8533.832013
Ninety One,419.46,2017,APAC,4.2,0,0,0,0,556.192,0,0,0,0,0,1668.576,N,Short,2224.768
New Alternatives,415.61,1982,APAC,25.6,0,0,0,0,2010.700946,0,0,0,0,0,6032.102838,N,Short,8042.803784
CBOE Vest,408.32,2016,APAC,4.9,0,0,0,0,638.6092845,0,0,0,0,0,1915.827854,Y,Long,2554.437138
ARGA,406.07,2021,APAC,1,0,0,0,0,4518.484998,0,0,0,0,0,13555.45499,Y,Short,18073.93999
Adaptive ETF,405.51,2009,APAC,9.9,0,0,0,0,607.6266465,0,0,0,0,0,1822.87994,Y,Short,2430.506586
FS Investments,403.37,2017,APAC,4.8,0,0,0,0,791.9146105,0,0,0,0,0,2375.743832,Y,Long,3167.658442
Bright Rock,403.21,2010,APAC,11.6,0,0,0,0,1366.400996,0,0,0,0,0,4099.202987,Y,Short,5465.603983
Aberdeen Asset Management (Part of Aberdeen Standard Investments),401.95,1989,APAC,3.5,0,0,0,0,2589.378555,0,0,0,0,0,7768.135665,Y,Short,10357.51422
Hodges,401.58,1992,APAC,14.4,0,0,0,0,634.4534695,0,0,0,0,0,1903.360409,Y,Short,2537.813878
Perpetual Funds,398.35,2021,APAC,0.1,0,0,0,0,705.4868048,0,0,0,0,0,2116.460414,Y,Short,2821.947219
Oak Ridge Funds,398.09,1994,APAC,18.3,0,0,0,0,1939.282037,0,0,0,0,0,5817.84611,Y,Short,7757.128146
AllianzIM,397.69,2020,APAC,1.4,0,0,0,0,1019.783167,0,0,0,0,0,3059.3495,Y,Short,4079.132667
Poplar Forest Capital,396.29,2009,APAC,6.4,0,0,0,0,1488.886138,0,0,0,0,0,4466.658414,Y,Short,5955.544552
"Saba Capital Management, LP",392.97,1988,APAC,8.1,0,0,0,0,3539.65341,0,0,0,0,0,10618.96023,Y,Short,14158.61364
Fund X,390.89,2001,APAC,19.6,0,0,0,0,2121.809508,0,0,0,0,0,6365.428524,Y,Short,8487.238032
Standpoint Asset Management,390.08,2019,APAC,2.4,0,0,0,0,1571.369217,0,0,0,0,0,4714.107651,Y,Short,6285.476868
Ladenburg Thalmann,386.12,2010,APAC,6.8,0,0,0,0,2868.370373,0,0,0,0,0,8605.111118,Y,Long,11473.48149
SARK ETF,384.95,2021,US,0.6,0,0,0,0,577.7207495,0,0,0,0,0,1733.162249,Y,Long,2310.882998
Campbell & Company,383.83,2013,US,2.1,0,0,0,0,5898.67005,0,0,0,0,0,17696.01015,Y,Long,23594.6802
Potomac Fund Management Inc.,379.15,2020,US,1.9,0,0,0,0,628.64799,0,0,0,0,0,1885.94397,Y,Long,2514.59196
First Western Capital Mgt,374.8,2012,US,7.2,0,0,0,0,1345.224659,0,0,0,0,0,4035.673977,Y,Short,5380.898636
Nottingham,371.73,2009,US,9.2,0,0,0,0,1192.637728,0,0,0,0,0,3577.913183,Y,Long,4770.550911
Regents Park Funds,370.99,2017,US,2.2,0,0,0,0,1689.162851,0,0,0,0,0,5067.488553,Y,Long,6756.651404
North Star,369.67,2011,US,9.5,0,0,0,0,5936.011773,0,0,0,0,0,0,N,NA,5936.011773
Oakhurst,368.21,2012,US,7.6,0,0,0,0,3570.760509,0,0,0,0,0,0,N,NA,3570.760509
Boyd Watterson,366.99,2016,US,4.9,0,0,0,0,6019.960469,0,0,0,0,0,0,N,NA,6019.960469
Ivy Funds,366.24,2000,US,2.1,0,0,0,0,5426.863953,0,0,0,0,0,0,N,NA,5426.863953
SouthernSun Asset Management,363.58,2003,US,9.3,0,0,0,0,2730.313804,0,0,0,0,0,0,N,NA,2730.313804
First Pacific,358.07,1968,US,6.5,0,0,0,0,4982.681374,0,0,0,0,0,0,N,NA,4982.681374
"Angel Oak Capital Advisors, LLC",354.33,2019,US,2.7,0,0,0,0,8769.266756,0,0,0,0,0,0,N,NA,8769.266756
"Aperture Investors, LLC",352.6,2019,US,0.2,0,0,0,0,4220.613534,0,0,0,0,0,0,N,NA,4220.613534
AGRA,351.71,2021,US,0.7,0,0,0,0,11537.50507,0,0,0,0,0,0,N,NA,11537.50507
Macquarie Invt Mgmt global Ltd(MIMGL),351.53,2005,US,0,0,0,0,0,5887.182043,0,0,0,0,0,0,N,NA,5887.182043
Cromwell Funds,350.37,1997,US,14.1,0,0,0,0,4700.583771,0,0,0,0,0,0,N,NA,4700.583771
DGI,348.36,2011,US,8,0,0,0,0,10963.95723,0,0,0,0,0,0,N,NA,10963.95723
Oriental Trust,347.11,2021,US,1,0,0,0,0,2523.171245,0,0,0,0,0,0,N,NA,2523.171245
SouthernSunFunds,344.38,2003,US,9.2,0,0,0,0,3757.804716,0,0,0,0,0,0,N,NA,3757.804716
